@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,438,0,236,0,1,1,0.649852,1,0.350148,0.78777,1,1,0
1,438,0,235,1,0.995763,1,0.650817,1,0.349183,0.788479,0.998516,1.001486,0
2,438,0,234,2,0.991525,1,0.651786,1,0.348214,0.789189,0.997033,1.002976,0
3,438,0,233,3,0.987288,1,0.652757,1,0.347243,0.789901,0.995549,1.004471,0
4,438,0,232,4,0.983051,1,0.653731,1,0.346269,0.790614,0.994065,1.00597,0
5,438,0,231,5,0.978814,1,0.654709,1,0.345291,0.791328,0.992582,1.007474,0
6,438,0,230,6,0.974576,1,0.655689,1,0.344311,0.792043,0.991098,1.008982,0
7,438,0,229,7,0.970339,1,0.656672,1,0.343328,0.79276,0.989614,1.010495,0
8,438,0,228,8,0.966102,1,0.657658,1,0.342342,0.793478,0.988131,1.012012,0
9,438,0,227,9,0.961864,1,0.658647,1,0.341353,0.794198,0.986647,1.013534,0
10,438,0,226,10,0.957627,1,0.659639,1,0.340361,0.794918,0.985163,1.01506,0
11,438,0,225,11,0.95339,1,0.660633,1,0.339367,0.79564,0.98368,1.016591,0
12,438,0,224,12,0.949153,1,0.661631,1,0.338369,0.796364,0.982196,1.018127,0
13,438,0,223,13,0.944915,1,0.662632,1,0.337368,0.797088,0.980712,1.019667,0
14,438,0,222,14,0.940678,1,0.663636,1,0.336364,0.797814,0.979228,1.021212,0
15,438,0,221,15,0.936441,1,0.664643,1,0.335357,0.798541,0.977745,1.022762,0.000001
16,438,0,220,16,0.932203,1,0.665653,1,0.334347,0.79927,0.976261,1.024316,0.000001
17,438,0,219,17,0.927966,1,0.666667,1,0.333333,0.8,0.974777,1.025875,0.000001
18,438,0,218,18,0.923729,1,0.667683,1,0.332317,0.800731,0.973294,1.027439,0.000001
19,438,0,217,19,0.919492,1,0.668702,1,0.331298,0.801464,0.97181,1.029008,0.000001
20,438,0,216,20,0.915254,1,0.669725,1,0.330275,0.802198,0.970326,1.030581,0.000001
21,438,0,215,21,0.911017,1,0.67075,1,0.32925,0.802933,0.968843,1.032159,0.000001
22,438,0,214,22,0.90678,1,0.671779,1,0.328221,0.80367,0.967359,1.033742,0.000001
23,438,0,213,23,0.902542,1,0.672811,1,0.327189,0.804408,0.965875,1.03533,0.000001
24,438,0,212,24,0.898305,1,0.673846,1,0.326154,0.805147,0.964392,1.036923,0.000001
25,438,0,211,25,0.894068,1,0.674884,1,0.325116,0.805888,0.962908,1.038521,0.000002
26,438,0,210,26,0.889831,1,0.675926,1,0.324074,0.80663,0.961424,1.040123,0.000002
27,438,0,209,27,0.885593,1,0.676971,1,0.323029,0.807373,0.959941,1.041731,0.000002
